trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.86923427936479403, 'e': 0.86923427936479403}",25,8,-53.74506283711289,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
149,False,"{'a': 0.86754395119067063, 'e': 0.86754395119067063}",25,0,-132.1857085374092,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
150,False,"{'a': 0.8658444344369105, 'e': 0.8658444344369105}",25,0,-167.46310046420848,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
151,False,"{'a': 0.86413577159134369, 'e': 0.86413577159134369}",25,4,-113.63194743990604,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 2}",1
152,False,"{'a': 0.86241800537045266, 'e': 0.86241800537045266}",25,0,-96.68762077265767,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
153,False,"{'a': 0.86069117871830314, 'e': 0.86069117871830314}",20,0,-111.03258924412361,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
154,False,"{'a': 0.8589553348054717, 'e': 0.8589553348054717}",30,0,-159.94665735553897,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
155,False,"{'a': 0.85721051702796569, 'e': 0.85721051702796569}",20,0,-57.5253040536386,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
156,False,"{'a': 0.85545676900613865, 'e': 0.85545676900613865}",20,0,-117.02596099657055,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
157,False,"{'a': 0.85369413458359988, 'e': 0.85369413458359988}",25,0,-261.31330777560754,"{0: 13, 1: 0, 2: 5, 3: 3, 4: 4}",0
158,False,"{'a': 0.85192265782611809, 'e': 0.85192265782611809}",25,0,-131.21841352991063,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
159,False,"{'a': 0.85014238302051992, 'e': 0.85014238302051992}",25,0,-179.20230672507404,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
160,False,"{'a': 0.84835335467358264, 'e': 0.84835335467358264}",25,0,-90.14518496888685,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
161,False,"{'a': 0.84655561751092212, 'e': 0.84655561751092212}",20,0,-32.74759460569315,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
